trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),2025-07,"2,863","2,863",100.0,,0,0
8J094,NHS England Midlands ,Badger Ltd,2025-07,"1,013","1,013",100.0,,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,2025-07,"4,358","3,793",87.0,87.0,731,0
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,2025-07,"13,712","9,898",72.2,53.7,"2,616",100
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,2025-07,0,0,,,83,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,2025-07,"9,585","9,295",97.0,,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,2025-07,"1,872","1,872",100.0,,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,2025-07,"1,104","1,104",100.0,,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,2025-07,"8,472","6,445",76.1,70.5,"1,072",255
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,2025-07,"18,786","14,948",79.6,64.4,"2,234",785
C82038,NHS England Midlands ,Latham House Medical Practice,2025-07,436,436,100.0,,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,2025-07,"9,119","8,822",96.7,,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,2025-07,"4,004","4,002",100.0,,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,2025-07,"7,508","7,492",99.8,,0,0
NNJ12,NHS England Midlands ,Market Harborough,2025-07,449,449,100.0,,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,2025-07,332,332,100.0,,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,2025-07,387,387,100.0,,0,0
A5D4Q,NHS England Midlands ,Nems Cbs (Utc),2025-07,"4,053","3,187",78.6,,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,2025-07,"13,176","7,753",58.8,52.3,"2,428",638
NR3,NHS England Midlands ,Nottingham Citycare Partnership,2025-07,"5,243","4,803",91.6,,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,2025-07,"15,450","8,353",54.1,47.3,"9,950",467
NNJ14,NHS England Midlands ,Oadby,2025-07,"2,848","2,847",100.0,,0,0
NNJ15,NHS England Midlands ,Oakham,2025-07,360,360,100.0,,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,2025-07,"21,448","16,914",78.9,64.5,"3,133",55
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,2025-07,"18,052","13,070",72.4,61.2,"4,173",95
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,2025-07,"3,764","3,737",99.3,,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,2025-07,439,439,100.0,,2,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,2025-07,"5,808","5,808",100.0,,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,2025-07,"8,991","7,041",78.3,77.0,"2,953",28
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,2025-07,"3,233","3,233",100.0,,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,2025-07,"14,971","11,736",78.4,69.5,"6,354",96
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2025-07,0,0,,,34,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,2025-07,"21,321","17,465",81.9,72.0,"6,856",290
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,2025-07,"13,576","7,174",52.8,45.5,"5,374","1,407"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,2025-07,"21,307","13,502",63.4,57.0,"6,062","1,027"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,2025-07,"38,611","24,776",64.2,61.9,"18,508","1,376"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,2025-07,"19,883","14,743",74.1,60.4,"1,914",17
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,2025-07,"33,965","24,755",72.9,61.6,"6,112",716
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,2025-07,"23,097","14,938",64.7,61.9,"10,215",629
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,2025-07,"25,317","17,939",70.9,53.7,"7,149",371
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,2025-07,"14,252","10,978",77.0,67.5,"4,774",101
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,2025-07,"21,006","13,958",66.4,50.8,"3,825",896
RLQ,NHS England Midlands ,Wye Valley NHS Trust,2025-07,"7,665","5,427",70.8,64.5,"1,658",182
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,2025-07,"7,145","5,202",72.8,72.0,"2,078",70
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,2025-07,"9,349","6,756",72.3,72.3,"3,603",0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,2025-07,"14,280","11,982",83.9,76.2,"4,004",51
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,2025-07,"3,787","3,399",89.8,,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,2025-07,"1,764","1,677",95.1,,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,2025-07,"16,778","14,293",85.2,85.2,"3,057",7
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,2025-07,"24,778","20,022",80.8,64.0,"5,223",13
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,2025-07,"18,807","13,890",73.9,66.7,"5,206",55
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,2025-07,"2,950","2,684",91.0,,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,2025-07,"10,417","8,566",82.2,71.1,"1,822",1
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,2025-07,"1,690","1,676",99.2,,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,2025-07,"7,036","5,639",80.1,76.1,"1,457",0
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,2025-07,"14,551","8,566",58.9,44.1,"6,106",385
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,2025-07,"1,331","1,324",99.5,,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,2025-07,"30,511","24,126",79.1,64.6,"4,910",135
ARN03,NHS England North East And Yorkshire ,Local Care Direct,2025-07,"2,368","2,359",99.6,,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,2025-07,"24,157","18,117",75.0,66.1,"4,596",11
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,2025-07,"11,883","7,835",65.9,57.7,"2,838",275
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,2025-07,"16,291","13,705",84.1,47.8,"4,267",4
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,2025-07,"17,486","13,013",74.4,53.7,"6,110",635
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,2025-07,"24,431","22,450",91.9,81.0,"5,099",0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,2025-07,"5,072","4,777",94.2,93.9,"1,053",0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,2025-07,"18,640","13,334",71.5,54.7,"6,560",11
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,2025-07,"19,106","14,983",78.4,52.3,"5,114",10
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,2025-07,"20,837","15,378",73.8,57.0,"5,955",1
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,2025-07,0,0,,,137,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2025-07,"21,785","17,480",80.2,66.3,"6,654",28
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,2025-07,"9,264","6,604",71.3,71.3,"2,318",17
AJN,NHS England North East And Yorkshire ,Workington Health Limited,2025-07,442,442,100.0,,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,2025-07,"19,429","13,550",69.7,50.4,"6,684",450
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,2025-07,"5,409","4,580",84.7,84.7,"1,040",0
RXL,NHS England North West ,Blackpool Teaching Hospitals NHS Foundation Trust,2025-07,"20,292","15,700",77.4,53.0,"4,335",340
RMC,NHS England North West ,Bolton NHS Foundation Trust,2025-07,"12,338","7,995",64.8,50.9,"3,703",261
RY2,NHS England North West ,Bridgewater Community Healthcare NHS Foundation Trust,2025-07,"3,278","3,215",98.1,,0,0
RJR,NHS England North West ,Countess Of Chester Hospital NHS Foundation Trust,2025-07,"7,963","4,934",62.0,49.0,"3,205",503
RJN,NHS England North West ,East Cheshire NHS Trust,2025-07,"4,711","1,946",41.3,40.8,947,271
RXR,NHS England North West ,East Lancashire Hospitals NHS Trust,2025-07,"26,164","20,747",79.3,66.0,"5,558",708
RXN,NHS England North West ,Lancashire Teaching Hospitals NHS Foundation Trust,2025-07,"16,226","11,647",71.8,63.9,"4,578",423
RBQ,NHS England North West ,Liverpool Heart And Chest Hospital NHS Foundation Trust,2025-07,0,0,,,137,0
REM,NHS England North West ,Liverpool University Hospitals NHS Foundation Trust,2025-07,"26,981","18,362",68.1,50.5,"7,525",902
REP,NHS England North West ,Liverpool Women's NHS Foundation Trust,2025-07,"1,572","1,393",88.6,,130,0
R0A,NHS England North West ,Manchester University NHS Foundation Trust,2025-07,"45,915","34,128",74.3,62.2,"6,835",101
RBN,NHS England North West ,Mersey And West Lancashire Teaching Hospitals NHS Trust,2025-07,"26,036","19,179",73.7,63.3,"8,809",187
RW4,NHS England North West ,Mersey Care NHS Foundation Trust,2025-07,"13,566","13,374",98.6,,51,0
RBT,NHS England North West ,Mid Cheshire Hospitals NHS Foundation Trust,2025-07,"10,495","5,855",55.8,38.3,"2,768",489
Y02532,NHS England North West ,Miriam Minor Emergency,2025-07,"1,615","1,615",100.0,,0,0
RM3,NHS England North West ,Northern Care Alliance NHS Foundation Trust,2025-07,"37,373","26,926",72.0,63.0,"9,908",933
NV693,NHS England North West ,Rossendale Miu & Ooh,2025-07,"1,261","1,259",99.8,,0,0
NQT5F,NHS England North West ,Skelmersdale Walk In Centre,2025-07,"1,718","1,707",99.4,,0,0
RWJ,NHS England North West ,Stockport NHS Foundation Trust,2025-07,"11,196","7,608",68.0,59.3,"3,861",172
RMP,NHS England North West ,Tameside And Glossop Integrated Care NHS Foundation Trust,2025-07,"12,076","7,681",63.6,53.3,"2,011",337
RBV,NHS England North West ,The Christie NHS Foundation Trust,2025-07,0,0,,,786,0
RET,NHS England North West ,The Walton Centre NHS Foundation Trust,2025-07,0,0,,,153,0
RTX,NHS England North West ,University Hospitals Of Morecambe Bay NHS Foundation Trust,2025-07,"14,809","11,180",75.5,64.7,"4,333",276
RWW,NHS England North West ,Warrington And Halton Teaching Hospitals NHS Foundation Trust,2025-07,"10,945","6,819",62.3,47.2,"2,015",600
RY7,NHS England North West ,Wirral Community Health And Care NHS Foundation Trust,2025-07,"4,311","3,963",91.9,,0,0
RBL,NHS England North West ,Wirral University Teaching Hospital NHS Foundation Trust,2025-07,"11,400","7,004",61.4,46.4,"4,016",710
RRF,NHS England North West ,"Wrightington, Wigan And Leigh NHS Foundation Trust",2025-07,"12,871","9,731",75.6,57.9,"3,087",394
RTK,NHS England South East ,Ashford And St Peter's Hospitals NHS Foundation Trust,2025-07,"10,480","6,957",66.4,53.2,"3,605",133
NTV0B,NHS England South East ,Ashford Walk-In-Centre,2025-07,"2,286","2,019",88.3,,0,0
RWX,NHS England South East ,Berkshire Healthcare NHS Foundation Trust,2025-07,"1,639","1,625",99.1,,43,0
Y02676,NHS England South East ,Brighton Station Health Centre,2025-07,"2,044","2,044",100.0,,0,0
RXQ,NHS England South East ,Buckinghamshire Healthcare NHS Trust,2025-07,"15,784","12,348",78.2,70.0,"7,214",309
RN7,NHS England South East ,Dartford And Gravesham NHS Trust,2025-07,"15,476","12,710",82.1,75.7,"4,628",72
Y00751,NHS England South East ,East Berks Primary Care Ooh(Wam),2025-07,0,0,,,0,0
RVV,NHS England South East ,East Kent Hospitals University NHS Foundation Trust,2025-07,"26,289","20,119",76.5,55.2,"4,131","1,195"
RXC,NHS England South East ,East Sussex Healthcare NHS Trust,2025-07,"15,419","11,632",75.4,66.0,"3,705",5
AQM01,NHS England South East ,Faversham Medical Practice Miu,2025-07,"2,894","2,894",100.0,,0,0
NDJ,NHS England South East ,First Community Health And Care Cic,2025-07,"2,634","2,634",100.0,,0,0
RDU,NHS England South East ,Frimley Health NHS Foundation Trust,2025-07,"37,388","27,538",73.7,59.8,"6,798",263
RW1,NHS England South East ,Hampshire And Isle Of Wight Healthcare NHS Foundation Trust,2025-07,"3,080","2,999",97.4,,139,0
RN5,NHS England South East ,Hampshire Hospitals NHS Foundation Trust,2025-07,"14,832","10,068",67.9,57.9,"4,805",33
DJV01,NHS England South East ,Herne Bay Health Care Ltd,2025-07,"2,265","2,265",100.0,,0,0
R1F,NHS England South East ,Isle Of Wight NHS Trust,2025-07,"6,710","4,807",71.6,61.3,"1,596",83
RYY,NHS England South East ,Kent Community Health NHS Foundation Trust,2025-07,"6,715","6,698",99.7,,0,0
RWF,NHS England South East ,Maidstone And Tunbridge Wells NHS Trust,2025-07,"21,228","17,672",83.2,81.1,"6,381",62
RPA,NHS England South East ,Medway NHS Foundation Trust,2025-07,"18,183","13,879",76.3,65.7,"2,335",614
RNU,NHS England South East ,Oxford Health NHS Foundation Trust,2025-07,"4,488","4,345",96.8,,0,0
RTH,NHS England South East ,Oxford University Hospitals NHS Foundation Trust,2025-07,"20,184","16,579",82.1,75.4,"10,267",0
AQN04,NHS England South East ,Phl Lymington Utc,2025-07,"3,611","3,539",98.0,,0,0
RHU,NHS England South East ,Portsmouth Hospitals University NHS Trust,2025-07,"17,752","13,400",75.5,65.6,"5,810",979
NTP11,NHS England South East ,Practice Plus Group Hospital - Southampton,2025-07,"5,273","5,182",98.3,,0,0
NTPAD,NHS England South East ,Practice Plus Group Surgical Centre - St Marys Portsmouth,2025-07,"5,534","5,238",94.7,,0,0
RPC,NHS England South East ,Queen Victoria Hospital NHS Foundation Trust,2025-07,"1,603","1,573",98.1,,635,0
RHW,NHS England South East ,Royal Berkshire NHS Foundation Trust,2025-07,"18,029","14,078",78.1,68.7,"2,775",1
RA2,NHS England South East ,Royal Surrey County Hospital NHS Foundation Trust,2025-07,"9,381","7,041",75.1,68.8,"3,425",1
NQT51,NHS England South East ,Station Plaza Health Centre,2025-07,"1,156","1,156",100.0,,0,0
RTP,NHS England South East ,Surrey And Sussex Healthcare NHS Trust,2025-07,"10,680","6,496",60.8,60.8,"5,258",626
RDR,NHS England South East ,Sussex Community NHS Foundation Trust,2025-07,"12,805","12,677",99.0,,2,0
RHM,NHS England South East ,University Hospital Southampton NHS Foundation Trust,2025-07,"13,701","8,353",61.0,57.6,"5,432",20
RYR,NHS England South East ,University Hospitals Sussex NHS Foundation Trust,2025-07,"33,413","22,937",68.6,65.1,"11,126",271
ACH01,NHS England South East ,Whitstable Medical Practice,2025-07,"5,094","5,094",100.0,,0,0
NTV0W,NHS England South East ,Woking Walk In Centre,2025-07,"2,609","2,449",93.9,,0,0
NQT1I,NHS England South West ,Chippenham Community Hospital,2025-07,"1,948","1,921",98.6,,0,0
RJ8,NHS England South West ,Cornwall Partnership NHS Foundation Trust,2025-07,0,0,,,100,0
RBD,NHS England South West ,Dorset County Hospital NHS Foundation Trust,2025-07,"10,426","8,993",86.3,74.5,"2,781",38
RDY,NHS England South West ,Dorset Healthcare University NHS Foundation Trust,2025-07,0,0,,,1,0
RTQ,NHS England South West ,Gloucestershire Health And Care NHS Foundation Trust,2025-07,"8,928","8,788",98.4,,30,0
RTE,NHS England South West ,Gloucestershire Hospitals NHS Foundation Trust,2025-07,"14,168","8,797",62.1,60.8,"5,675",202
RN3,NHS England South West ,Great Western Hospitals NHS Foundation Trust,2025-07,"11,626","8,032",69.1,50.8,"4,116",148
RVJ,NHS England South West ,North Bristol NHS Trust,2025-07,"9,540","6,079",63.7,63.7,"5,154",220
L83087,NHS England South West ,Okehampton Medical Centre,2025-07,119,119,100.0,,0,0
NQT5H,NHS England South West ,Paulton Memorial Hospital,2025-07,"1,249","1,247",99.8,,0,0
REF,NHS England South West ,Royal Cornwall Hospitals NHS Trust,2025-07,"21,203","17,421",82.2,59.0,"4,196",178
RH8,NHS England South West ,Royal Devon University Healthcare NHS Foundation Trust,2025-07,"19,674","13,799",70.1,60.6,"5,736",131
RD1,NHS England South West ,Royal United Hospitals Bath NHS Foundation Trust,2025-07,"8,845","5,554",62.8,62.8,"4,832",51
RNZ,NHS England South West ,Salisbury NHS Foundation Trust,2025-07,"7,205","5,323",73.9,63.1,"2,456",23
NLX,NHS England South West ,Sirona Care & Health,2025-07,"9,893","9,581",96.8,,0,0
RH5,NHS England South West ,Somerset NHS Foundation Trust,2025-07,"23,191","17,977",77.5,61.5,"5,096",75
RYF,NHS England South West ,South Western Ambulance Service NHS Foundation Trust,2025-07,"2,069","2,052",99.2,,0,0
AAH,NHS England South West ,Tetbury Hospital Trust Ltd,2025-07,688,688,100.0,,0,0
RA9,NHS England South West ,Torbay And South Devon NHS Foundation Trust,2025-07,"11,381","8,370",73.5,60.3,"3,596",37
G3P9C,NHS England South West ,Trowbridge Minor Injuries Unit,2025-07,"1,079","1,077",99.8,,0,0
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,2025-07,"18,368","13,196",71.8,68.3,"6,892",161
R0D,NHS England South West ,University Hospitals Dorset NHS Foundation Trust,2025-07,"20,367","14,546",71.4,61.5,"6,810",67
RK9,NHS England South West ,University Hospitals Plymouth NHS Trust,2025-07,"16,062","11,617",72.3,55.2,"4,857",255
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,2025-08,"24,494","18,598",75.9,63.2,"6,681",3
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,2025-08,"16,203","12,048",74.4,60.8,"3,411",309
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,2025-08,"16,472","12,821",77.8,56.9,"2,627",23
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,2025-08,"25,601","19,191",75.0,51.3,"7,262",356
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,2025-08,"1,061","1,042",98.2,,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),2025-08,"2,050","1,952",95.2,,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,2025-08,"8,968","5,943",66.3,60.3,"1,992",230
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,2025-08,"32,973","24,952",75.7,72.6,"9,931",303
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,2025-08,"13,555","9,839",72.6,56.8,"2,568",0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,2025-08,"20,734","16,902",81.5,69.7,"3,995",162
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,2025-08,"19,450","13,639",70.1,60.9,"4,516",601
Y02428,NHS England East Of England ,Putnoe Walk In Centre,2025-08,"2,334","2,334",100.0,,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,2025-08,"10,240","7,684",75.0,67.9,"2,145",195
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2025-08,"7,953","4,708",59.2,52.3,"2,164",124
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,2025-08,"15,721","13,259",84.3,69.2,"4,419",27
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,2025-08,"8,558","6,327",73.9,71.8,"2,323",199
G0Q0L,NHS England London,Barking Hospital Utc,2025-08,"2,709","2,699",99.6,,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",2025-08,"28,167","22,168",78.7,57.0,"8,225",677
R1H,NHS England London,Barts Health NHS Trust,2025-08,"42,424","30,546",72.0,56.2,"5,115",799
AD913,NHS England London,Beckenham Beacon Ucc,2025-08,"3,636","3,623",99.6,,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,2025-08,"12,087","11,953",98.9,,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,2025-08,"24,677","18,957",76.8,70.4,"3,096",39
RJ6,NHS England London,Croydon Health Services NHS Trust,2025-08,"16,768","12,591",75.1,65.2,"1,313",565
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,2025-08,"12,803","9,715",75.9,72.0,"2,365",642
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,2025-08,"16,661","13,055",78.4,65.2,"2,191",61
K6K0R,NHS England London,Harold Wood Polyclinic Utc,2025-08,"2,504","2,499",99.8,,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,2025-08,"10,343","8,385",81.1,81.1,"2,019",35
RYJ,NHS England London,Imperial College Healthcare NHS Trust,2025-08,"22,939","17,460",76.1,56.1,"4,567",0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,2025-08,"24,898","18,419",74.0,59.7,"3,965",572
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,2025-08,"14,693","11,006",74.9,47.9,"2,997",222
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,2025-08,"23,802","16,135",67.8,49.9,"4,575",571
R1K,NHS England London,London North West University Healthcare NHS Trust,2025-08,"27,792","21,035",75.7,51.6,"6,551",517
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,2025-08,"5,806","5,704",98.2,,252,0
RAT,NHS England London,North East London NHS Foundation Trust,2025-08,"1,827","1,740",95.2,,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,2025-08,"39,006","30,778",78.9,68.1,"7,665","1,704"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,2025-08,0,0,,,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,2025-08,"12,382","9,699",78.3,70.5,"3,345",498
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,2025-08,"12,067","9,876",81.8,61.8,"2,303",8
Y03218,NHS England London,The Pinn Unregistered Wic,2025-08,998,998,100.0,,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,2025-08,"13,266","9,885",74.5,74.5,"1,692",72
Y02147,NHS England London,Urgent Care Centre (Qms),2025-08,"7,973","7,856",98.5,,0,0
RKE,NHS England London,Whittington Health NHS Trust,2025-08,"8,361","5,952",71.2,71.2,"1,271",137
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),2025-08,"3,085","3,085",100.0,,0,0
8J094,NHS England Midlands ,Badger Ltd,2025-08,"1,003","1,003",100.0,,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,2025-08,"3,491","3,336",95.6,95.6,679,1
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,2025-08,"13,657","9,494",69.5,46.7,"2,470",141
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,2025-08,0,0,,,100,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,2025-08,"9,029","8,785",97.3,,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,2025-08,"1,904","1,903",99.9,,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,2025-08,"1,149","1,149",100.0,,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,2025-08,"7,992","5,768",72.2,65.9,993,441
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,2025-08,"17,601","14,106",80.1,65.3,"2,046",626
C82038,NHS England Midlands ,Latham House Medical Practice,2025-08,400,400,100.0,,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,2025-08,"9,050","8,785",97.1,,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,2025-08,"4,108","4,108",100.0,,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,2025-08,"7,441","7,402",99.5,,0,0
NNJ12,NHS England Midlands ,Market Harborough,2025-08,539,539,100.0,,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,2025-08,306,306,100.0,,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,2025-08,459,459,100.0,,0,0
A5D4Q,NHS England Midlands ,Nems Cbs (Utc),2025-08,"3,664","2,793",76.2,,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,2025-08,"12,315","7,970",64.7,57.5,"2,383",667
NR3,NHS England Midlands ,Nottingham Citycare Partnership,2025-08,"4,934","4,703",95.3,,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,2025-08,"14,187","7,181",50.6,43.1,"8,553",566
NNJ14,NHS England Midlands ,Oadby,2025-08,"2,877","2,877",100.0,,0,0
NNJ15,NHS England Midlands ,Oakham,2025-08,451,451,100.0,,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,2025-08,"20,157","15,983",79.3,65.5,"3,021",102
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,2025-08,"16,438","11,307",68.8,55.8,"3,874",346
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,2025-08,"3,193","3,141",98.4,,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,2025-08,531,531,100.0,,1,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,2025-08,"5,641","5,641",100.0,,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,2025-08,"8,529","6,760",79.3,78.2,"2,798",14
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,2025-08,"2,916","2,916",100.0,,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,2025-08,"13,923","10,661",76.6,66.7,"5,985",78
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2025-08,0,0,,,34,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,2025-08,"20,223","16,304",80.6,70.8,"6,790",172
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,2025-08,"13,242","6,895",52.1,45.6,"5,232","1,300"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,2025-08,"20,777","13,484",64.9,59.0,"5,721","1,061"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,2025-08,"36,208","23,020",63.6,61.2,"16,985","1,593"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,2025-08,"18,739","14,070",75.1,61.7,"1,748",9
