trust_code,region,trust_name,period,total_attendances,within_4hrs,pct_4hrs_total,pct_4 hrs_type1,total_emergency_dmissions,over_12hrs
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,2025-04,"8,266","5,995",72.5,71.0,"3,081",35
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,2025-04,"3,055","3,055",100.0,,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,2025-04,"14,332","10,850",75.7,64.9,"5,927",145
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2025-04,0,0,,,22,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,2025-04,"21,550","17,801",82.6,71.4,"6,645",244
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,2025-04,"13,251","6,224",47.0,41.1,"5,130","1,362"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,2025-04,"20,004","13,604",68.0,63.5,"5,725",969
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,2025-04,"36,794","22,045",59.9,57.4,"17,097","2,096"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,2025-04,"19,197","13,970",72.8,58.2,"1,913",29
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,2025-04,"31,426","22,435",71.4,59.5,"6,020",386
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,2025-04,"23,204","13,858",59.7,56.7,"9,434",724
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,2025-04,"24,280","15,959",65.7,45.0,"6,712",930
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,2025-04,"13,485","10,225",75.8,65.1,"4,467",238
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,2025-04,"19,507","11,884",60.9,44.6,"3,533",880
RLQ,NHS England Midlands ,Wye Valley NHS Trust,2025-04,"7,241","4,157",57.4,48.6,"1,566",277
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,2025-04,"6,729","4,483",66.6,65.5,"2,051",116
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,2025-04,"8,914","5,978",67.1,67.1,"3,361",5
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,2025-04,"13,310","11,040",82.9,74.8,"3,880",71
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,2025-04,"3,556","2,972",83.6,,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,2025-04,"1,586","1,525",96.2,,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,2025-04,"15,871","13,125",82.7,82.7,"2,993",24
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,2025-04,"25,183","19,989",79.4,59.9,"5,112",12
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,2025-04,"17,990","13,232",73.6,65.7,"5,437",65
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,2025-04,"3,043","2,812",92.4,,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,2025-04,"9,868","7,159",72.5,55.1,"1,632",0
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,2025-04,"1,675","1,668",99.6,,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,2025-04,"6,221","5,076",81.6,78.1,"1,359",2
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,2025-04,"13,767","7,757",56.3,42.3,"5,862",506
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,2025-04,"1,185","1,185",100.0,,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,2025-04,"30,208","22,981",76.1,59.3,"4,809",275
ARN03,NHS England North East And Yorkshire ,Local Care Direct,2025-04,"2,413","2,404",99.6,,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,2025-04,"22,657","16,097",71.0,62.8,"4,467",311
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,2025-04,"11,397","7,299",64.0,55.5,"3,001",496
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,2025-04,"16,639","13,858",83.3,45.9,"4,608",10
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,2025-04,"16,551","11,519",69.6,45.6,"5,190",800
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,2025-04,"23,336","20,770",89.0,74.3,"4,442",0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,2025-04,"4,827","4,505",93.3,92.8,"1,073",0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,2025-04,"18,666","13,475",72.2,47.1,"6,530",4
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,2025-04,"18,621","14,342",77.0,50.6,"5,112",13
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,2025-04,"20,814","14,836",71.3,51.6,"5,803",15
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,2025-04,0,0,,,121,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2025-04,"20,974","16,031",76.4,60.2,"6,570",85
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,2025-04,"8,977","6,171",68.7,68.7,"2,140",3
AJN,NHS England North East And Yorkshire ,Workington Health Limited,2025-04,361,361,100.0,,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,2025-04,"17,739","11,309",63.8,41.8,"6,078",628
